Modulo 2 - Sistema de Paqueteria: Condicion de Carrera 
Trabajadores: 8 | Despachos/trabajador: 10 | Esperado: 80


 Ronda 1  SIN mutex  (registro sin proteccion)

  [TRABAJADOR 6] Despachado | Leyo: 12 | Escribio: 13 | Total ahora: 13
  [TRABAJADOR 6] Despachado | Leyo: 13 | Escribio: 14 | Total ahora: 14
  [TRABAJADOR 6] Despachado | Leyo: 14 | Escribio: 15 | Total ahora: 15
  [TRABAJADOR 6] Despachado | Leyo: 15 | Escribio: 16 | Total ahora: 16
  [TRABAJADOR 6] Despachado | Leyo: 16 | Escribio: 17 | Total ahora: 17
  [TRABAJADOR 6] Despachado | Leyo: 17 | Escribio: 18 | Total ahora: 18
  [TRABAJADOR 6] Despachado | Leyo: 18 | Escribio: 19 | Total ahora: 19
  [TRABAJADOR 6] Despachado | Leyo: 19 | Escribio: 20 | Total ahora: 20
  [TRABAJADOR 2] Despachado | Leyo: 20 | Escribio: 21 | Total ahora: 21
  [TRABAJADOR 1] Despachado | Leyo: 21 | Escribio: 22 | Total ahora: 22
  [TRABAJADOR 1] Despachado | Leyo: 22 | Escribio: 23 | Total ahora: 23
  [TRABAJADOR 1] Despachado | Leyo: 23 | Escribio: 24 | Total ahora: 24
  [TRABAJADOR 1] Despachado | Leyo: 24 | Escribio: 25 | Total ahora: 25
  [TRABAJADOR 1] Despachado | Leyo: 25 | Escribio: 26 | Total ahora: 26
  [TRABAJADOR 1] Despachado | Leyo: 26 | Escribio: 27 | Total ahora: 27
  [TRABAJADOR 1] Despachado | Leyo: 27 | Escribio: 28 | Total ahora: 28
  [TRABAJADOR 1] Despachado | Leyo: 28 | Escribio: 29 | Total ahora: 29
  [TRABAJADOR 4] Despachado | Leyo: 29 | Escribio: 30 | Total ahora: 30
  [TRABAJADOR 4] Despachado | Leyo: 30 | Escribio: 31 | Total ahora: 31
  [TRABAJADOR 4] Despachado | Leyo: 31 | Escribio: 32 | Total ahora: 32
  [TRABAJADOR 4] Despachado | Leyo: 32 | Escribio: 33 | Total ahora: 33
  [TRABAJADOR 4] Despachado | Leyo: 33 | Escribio: 34 | Total ahora: 34
  [TRABAJADOR 4] Despachado | Leyo: 34 | Escribio: 35 | Total ahora: 35
  [TRABAJADOR 4] Despachado | Leyo: 35 | Escribio: 36 | Total ahora: 36
  [TRABAJADOR 4] Despachado | Leyo: 36 | Escribio: 37 | Total ahora: 37
  [TRABAJADOR 4] Despachado | Leyo: 37 | Escribio: 38 | Total ahora: 38
  [TRABAJADOR 4] Despachado | Leyo: 38 | Escribio: 39 | Total ahora: 39
  [TRABAJADOR 3] Despachado | Leyo: 39 | Escribio: 40 | Total ahora: 40
  [TRABAJADOR 3] Despachado | Leyo: 40 | Escribio: 41 | Total ahora: 41
  [TRABAJADOR 3] Despachado | Leyo: 41 | Escribio: 42 | Total ahora: 42
  [TRABAJADOR 6] Despachado | Leyo: 42 | Escribio: 43 | Total ahora: 43
  [TRABAJADOR 6] Despachado | Leyo: 43 | Escribio: 44 | Total ahora: 44
  [TRABAJADOR 5] Despachado | Leyo: 44 | Escribio: 45 | Total ahora: 45
  [TRABAJADOR 5] Despachado | Leyo: 45 | Escribio: 46 | Total ahora: 46
  [TRABAJADOR 5] Despachado | Leyo: 46 | Escribio: 47 | Total ahora: 47
  [TRABAJADOR 5] Despachado | Leyo: 47 | Escribio: 48 | Total ahora: 48
  [TRABAJADOR 7] Despachado | Leyo: 48 | Escribio: 49 | Total ahora: 49
  [TRABAJADOR 7] Despachado | Leyo: 49 | Escribio: 50 | Total ahora: 50
  [TRABAJADOR 2] Despachado | Leyo: 50 | Escribio: 51 | Total ahora: 51
  [TRABAJADOR 2] Despachado | Leyo: 51 | Escribio: 52 | Total ahora: 52
  [TRABAJADOR 2] Despachado | Leyo: 52 | Escribio: 53 | Total ahora: 53
  [TRABAJADOR 7] Despachado | Leyo: 53 | Escribio: 54 | Total ahora: 54
  [TRABAJADOR 5] Despachado | Leyo: 54 | Escribio: 55 | Total ahora: 55
